id,text,polarity
9f5c7536,Recorriendo el #CampNou🏟 https://t.co/ZKZ1ERaiZS,Neutral
8e59cbaa,@FCBarcelona fera desde pequeno😲😲,Neutral
a2c38968,@sport Y el barca que haria sin Messi????? Ni rotaciones le pueden dar.,Negative
51cf6477,Please RT!! #barcelona #fcbarcelona #Barca #fcb    Los titulares habituales en el Barça ya piensan en el... https://t.co/XT4bUcoqqI https://t.co/euEbdIPb8Y,Neutral
2a1bb2a5,"@NostradamusFCB Si parce que miedo, sólo el barca o el city serían capaces de pararlos, esos desgraciados nacieron pa jugar la champions",Neutral
7c2deb3b,@Matt_Santangelo Mino= No Barca.,Neutral
55a8dfe9,Pero cuando dicen que os ganará el Barça acaba pasando..🔵🔴 https://t.co/FZWpY4tyW2,Neutral
c67c8f81,"@RoussGame Te as enterado que an robado en la tienda del atleti
Creo que era la tienda. 
La verdad que hay poca vigilancia en vuestro estadio 
Y mañana tener cuidadito que e visto videos de los ultras rusos de mañana y son como los de bilbao",Negative
5c5d618c,"Qué maravilla que este chico tocado por Dios, juegue en el Barça! Toda la historia que ha hecho Leo y toda la que le falta! EL MEJOR DE LA HISTORIA! https://t.co/WwnQZBVNvX",Positive
1894c5a1,@natxinho @jorgeneo @F_Reymundo totalmente! Aquí solo tiene favores arbitrales el Barça! Son así de cutres.... lo de la ida hace q el baño de ayer sea posible,Negative
32b44cd7,@AS_Manolete Hombre soy del Barça y espero que el Barça pase pero de momento de el Barça no está clasificado,Neutral
c5e21813,@diarioas Ni aunque ganen pueden vivir sin el Barça  jajajajja,Neutral
81378a55,"Con todo respeto, no le veo mucho sentido a estos partidos, solo espero que no haya lesionados y que sirva para que se fogueen los jugadores del #Barça B. Y el resultado es lo de menos.🔴🔵 https://t.co/nu5tiGT1yl",Neutral
7882c517,"@ALEX15vs @FCBarcelona_es @FCBarcelona El va por todos los récords de su estilo de futbol en lo que juegue, no importa si es en, el campeonato del jardín de infantes, la rompe!, el patán haciendo historia.",Neutral
fc6fda2d,@ngomez9 @FirmaEspn @EJerezESPN @kenneth_garay @vikingomartell Ahora el psg es paquete. Pobre ignorante. Cuando el Barça perdió 3-0 ha esque nos toco el psg y sin neymar. Ahora q el Madrid lo elimino es un paquete de equipo. Ser aficionado a muerte es admirable pero ser tonto y no aceptar las cosas es risible.,Negative
3fc87e2e,"¡DE PIE DAMAS Y CABALLEROS! 💃🕴👏
#HOY se cumplen 17 años del debut oficial de Leo #Messi con el Infantil ""B"" del... https://t.co/kytx0qL8mP",Positive
41ef5e67,@jotajordi13 Si..pero la liga y la copa os comeis un mojon como una catedral y cuando os coja el barça...set en blanco😂😂😂😂😂,Negative
42aa2837,"Andrés Iniesta, a toda máquina para llegar al Barça-Chelsea https://t.co/35XnHX7uTM  #fcb #fcblive #barca https://t.co/3jUKhgo0vM",Neutral
590e31bc,"Deportes Cuatro: SOIS UNA MIERDA

Están tachando de vergonzoso hasta las bengalas encendidas fuera del estadio y cánticos vs Madrid.

Cuando Atleti o Madrid hacen los mismos recibimientos no dicen nada, LO CONTRARIO.

Y esos cánticos se hacen en todos los campos de España.",Negative
dfbfbf2f,"⚽️🇪🇸| Barça

El partido de 'Dinho' ese día, fue de los que hacen época. Repaso de él solito a todo el Real Madrid. Inolvidable. 
Ronaldinho. 
😁🤙🏼🇧🇷🎶

#FCBlive #Barça #ForçaBarça #FCBarcelona #LaLiga #ElClásico ⚽️🔴🔵

Vía 📎FCBarcelona_es 

https://t.co/bOfn5BSvIq",Positive
5c656a87,"@TOTWprediccion No crees que despues de ganar al Barça (y empatar), ganar al Madrid y ganar al Atleti en el espanyol nos merecemos algun IF?",Neutral
3640f1dc,"@BorregaF Lo que quiero decir es q esto va según la competición que dispute el Madrid , es más ese año el Barça ganó liga y champions y la copa rey fue más importante que lo q gano el Barcelona",Neutral
da5b9b1a,"Por eso el Barça le suele hacer mucho daño, Messi lee esos espacios de maravilla y recibir en ese espacio un balón en juego posicionar es mortal. https://t.co/qmzmb8lIBU",Neutral
43c66ae0,"¡TREMENDO! 🙌 La brutal exhibición de Koke en el rondo del entrenamiento. 💥⚽
#Atleti #UEL ➡️ https://t.co/QXtAAzb9Px https://t.co/971sGBX6GJ",Positive
1f103e4b,"Que venga Arthur me tiene más emocionado que cualquier otro fichaje que llegue, más que Griezmann. Es perfecto para nuestro juego más las ganas que tiene de jugar ya en el Barça 🔵🔴",Positive
2b34cc39,#Atlético Unos 1.300 efectivos velarán por la seguridad en el Atlético-Lokomotiv https://t.co/ArqUDqNgAM https://t.co/UZTzqLihZ2,Neutral
1dcc467e,@LVPibai @cojoneslml De camino al Barça-Espanyol.,Neutral
6a47c338,"Ricca y Chory Castro, a punto para recibir al Barça | Mundo Deportivo https://t.co/Rw2H4oNveR",Neutral
67ccb185,#OBSTÁCULO nivel ROJO en #A8 (pk 115) BILBAO #DGTBizkaia #DGT https://t.co/jKY7wSszNk,Neutral
04f88954,@Messivomita_ POR CIERTO AHORA QUIEN ES EL QUE JUEGA CONTRA 10 ME PARECE QUE LOS QUE SE QUEJABAN QUE EL BARCA JUGABA CONTRA 10 SE TIENEN QUE COMER SUS PALABRAS. EL AÑO PASADO BAYERN (2 VECES) Y AHORA PSG. https://t.co/1jdPAq6TVq,Negative
4f28f9fc,@eSports_Barca @MakitaCR Md por favor,Neutral
9cd47d6d,"@EduRS23 @Chapin_Cule No compares al atlético con el Barça, nosotros somos incapaces de ir a meter autobuses y jugar la mierda que propone el cholo. Esa liga que hablas te la regaló Mateu Lahoz.",Negative
809b8b98,Hoy es un muy buen día para darse un paseíto con la camiseta del Barça por París!,Positive
9c05fcc5,@nacholopez79 @Futbol_Flchaje @Futbool_Cracks Messi sabe que sin el barca no es nadie. No tuvo ni tendra cojones de dejar el barca y demostrar algo en otro equipo.,Negative
f1387500,"🏠 PSG: ⚽️
✈️ PSG: ⚽️⚽️
🏠 BVB: ⚽️
✈️ Apoel: ⚽️⚽️
✈️ Spurs: ⚽️
🏠 Spurs: ⚽️
✈️ BVB: ⚽️⚽️
🏠 Apoel: ⚽️⚽️
🏆 Juve: ⚽️⚽️
✈️ Atleti: ❌
🏠 Atleti: ⚽️⚽️⚽️
🏠 Bayern: ⚽️⚽️⚽️
✈️ Bayern: ⚽️⚽️ https://t.co/7hwegYqdj5",Neutral
48443acb,"@AS_Manolete Jajaja pero no era el PSG el miura? Y el año pasado el Bayern, la Juve o tu Atleti? A ver si va a resultar que el miura es el Madrid. En el extranjero nadie quiere al Madrid en el sorteo. Suerte con tu antimadridismo lo superarás. Bebe mucha agua no lo olvides.",Negative
eece5291,@MahouSanMiguel @HelenaNeninson Si.  Bueno hay un término medio q últimamente es muy utilizado.  Y un penalti que es ? Aparte de lo que nunca le pintan al Barça,Negative
fd1ef580,"@el_joven_tob @20m @Atleti no, se llevaron la copa del mundo del 74 que es mas importante que la de europa",Neutral
c26f6498,El 🎥 y las 📷 del entrenamiento de este miércoles #ForçaBarça https://t.co/P8Bojcv1Ii,Neutral
f061dc50,Alguien de Barcelona sabe de alguien que tenga/venda pases o entradas(2 personas) para el Barça-Leganés el día 8 de Abril? Agradezco cualquier info o ayuda!,Neutral
fdb50e86,"""Leíto, vení. No le saques tan rápido el pie a la pelota, porque si no ella no sabe lo que vos querés” https://t.co/kS5n4Y4u7p #Messi #Maradona #SeleccionArgentina https://t.co/GdALKBxTPr",Neutral
41cf074e,¿ALABA EN EL OJO DEL BARÇA?|HAZARD QUIERE IRSE DEL CHELSEA EN VERANO!!|EMERY SERÁ DESPEDIDO!!: https://t.co/1kER6mUnNn via @YouTube,Neutral
7045b693,"Qué poco profesional el gentuzo de Guardiola. Entrena al City pero siempre anda diciendo que si el Barça esto el Barça lo otro, Messi esto Messi lo otro. Tío cansino y pedante de los cojones, mira por tu equipo y deja de lamerle la cola al Barça",Negative
91470f8e,"Si el Barça hubiese fichado a Verratti, a lo mejor el PSG hubiese terminado con 11 y quien sabe...
😂😂😂😂😂😂😂😂😂😂 https://t.co/7BbVyog4pk",Neutral
b40064d6,"Mascherano: ""No me arrepiento de irme del Barça"" https://t.co/1NQD826ghZ",Neutral
15c99169,"@darf_14 Ahora hay una campaña por defender a André de como si fuera el mismo Xavi. ¡Por favor! Que se largue. No es un jugador para el Barça. Eventualmente anotará, o le dará una asistencia a Messi. Pero seguro hay algo mejor por la mitad de lo que él costó, o echar mano de la Masía.",Negative
4f53b77c,@jorgeshrug Me has visto alguna vez celebrando la realmadrididación extrema que está experimentando el Barça desde la llegada del puto mafias Rosell y su numero dos Nobita?,Negative
a5eb5b21,"Cuando Pep estuvo en el barça ganando de todo se buscó minimizar todo lo que hizo, e incluso hoy día se sigue haciendo... Hay que tener huevos para decir que se busca minimizar lo que hace el Madrid. https://t.co/7RmKcjvibL",Negative
24df7cf3,Si jugamos como contra el Barca al villareal le ganamos🙏💛💙,Positive
fe499c7c,Hoy hace 17 años que cambio la historia del futbol...#Messi disputo su primer partido con el equipo de su vida #FCBarcelona https://t.co/YxuzcaNjtv,Positive
669cae54,Please RT!! #atleti #atletico #ATM  Atlético de Madrid - Lokomotiv Moscú: Horario y dónde ver el partido. https://t.co/dKeC8zOBYW https://t.co/v1UlHUmuaG,Neutral
6a2f59d8,"@EASPORTSEsp No crees que despues de ganar al Barça (y empatar), ganar al Madrid y ganar al Atleti en el espanyol nos merecemos algun IF?",Negative
4ce5e1bc,@eDu_Mister @RCCelta @Atleti jajaja dejemoslo  en un 1-1 jaajaja bueno old trafford es la leche eh 😅,Positive
bfe3ca6d,"@SpheraSports ⚽ Lionel Messi 
🗣 Johan Cruyff 
✍ Jesús Gil 
🎫 Maracaná 
🎽 la del centenario del Barça",Neutral
a3d186ed,@jotajordi13 Jajajajajaja y yo veo a un imbecil que nunca verá a su barca mierda con 12 champions,Negative
d4446106,"@Calieiro @LaLiga @LeaguePremierBR Correcto, Mbappe jugara en Madrid-Barça o el que no este mas arriba en Inglaterra. En el Madrid le ofrecian sueldo similar al psg segun habia leido y si se fue ahi es xq es joven e iba jugar todo y estaba en su país. En el Madrid no se lo aseguraban. Tiempo al tiempo.",Neutral
4db7a72e,@joosete10 @DjMaRiiO_90 @LordbzB Yo igual 5 semestre de ingeniería :v 100% del barca y de messi jajajajaja no le ha dado ni a una,Neutral
9a9dff04,¿Eres fanático #Messi? Carlos Erick Malpica Flores nos cuenta sobre la casa familiar con forma de balón de este crack https://t.co/mUKL8V79Zf https://t.co/8mYkkePKD2,Neutral
fb4b4445,@diarioas Hahaha los madridistas no lo querían antes en el Barça ahora en e psg que tiene q fichar por el madrid y si saliera Neymar a decir que el no quiere ir al madrid hahah todos estos mismos van a decir teatrero no lo queremos en el madrid 😂😂😂HIPOCRITAS,Negative
6a6f62e7,"@saracsanchezp @victoramaya @infocracia Totalmente de acuerdo contigo. Cual sociedad civil? El mismo grupo de borregos apoyando a líderes politicos que han entregado el pais. Como decian mis abuelos""la misma barca atravesando diferentes ríos""",Neutral
06d01b85,@ALEX15vs @FCBarcelona_es @FCBarcelona La última moda en pijamas. 😂,Neutral
eccd648f,@FutSinC Eso parece el barca ya,Negative
dab2d48b,Barça y Espanyol luchan por adelantarse en el palmarés de la Supercopa de Catalunya https://t.co/6cdgsOlx8k,Neutral
2ae3e540,Hoy juega el barca so ese culito que le guste el fútbol también jaja https://t.co/Eo4j16FDa3,Positive
cc0cc5ad,"@partidazocope @RodrigoFaez Y el Puta Barça, puta Cataluña o Messi subnormal que ?
Eso si se puede cantar no ????
A la mierda coño !!!!!",Negative
988a3d0d,La mejor decisión del #Barça fue dejar salir a #Alvés al #PSG. Partido lamentable y lo que parece claro es que su siguiente paso será #China para sacarle el máximo rendimiento económico a la recta final.,Negative
f80c9b6e,"Alberto, casi 17 años, es del Atleti y me manda una foto poniendo hala madrid👏 @AlbertM294",Neutral
04f21be3,"@AndresBlanco73 Una vez más, pero Zidane lo prefiere, no confía en el que anotó el gol que decidió la décima, en el que dejó a Bartra detenido en el tiempo para darle otra Copa del Rey al Madrid ante el Barça, en el que le dio el pase a la final de Milan con el único gol ante el Man City",Negative
829ca046,Roban en la tienda oficial del @Atleti empotrando un coche en el escaparate https://t.co/4rMzwlbqgq,Neutral
fbbec2a1,"@SpheraSports /// #Sp_Ask /// 
⚽️Kiko Narváez @KikoNarvaez19
🗣Luis Aragones
✍🏻Vicente Calderón
🎫 Vicente Calderón
🎽 Atleti Puma años 80",Neutral
da19a068,Mucho Barça y femenino. Como me gusta aprender cosas nuevas. Moltes gràcies.🤩 Entrevista a Jordi Mestre.👉🏻 https://t.co/BM1nBcf9wM https://t.co/MaLoOhoSGZ,Positive
0183d6d0,Please RT!! #atleti #atletico #ATM  Se espera buena entrada pero aún hay 8.000 entradas disponibles https://t.co/4jJf3fFCYH https://t.co/cRMZVvsTZe,Neutral
32530eef,"@diablillocule14 @InvictosSomos Me queda claro que tienes retraso. Disfruta campeón, los jugadores del barca son clase mundial y en ese tiempo, eran los mejores del mundo. Ve la diferencia acá uno acepta y reconoce y tu, pues actúas como el subnormak que eres ajjajaja jajajaj “escoria blanca” deja de llorar🤣🤣",Negative
9778b594,"Barcelona 1-0 Atlético de Madrid| ""El Atleti ha desaprovechado una gran oportunidad"" | Diario AS https://t.co/oUM06DnEyL",Neutral
69c3ae50,@MadridSports_ @Jserranomarin @AlvaroBenitoV Este PSG es tan malo como el del año pasado que el Barça le metio 6,Negative
27a4dea6,"No me gusta como juega, y no creo que futbolísticamente tenga el nivel para el Barça, pero como deportista vale mucho más que ""estrellas"" como Suárez. https://t.co/AaHv2syF2b",Neutral
cf93fa3e,@neymarjr Te has dado cuenta de que hace falta que te vayas estes tu para competir vente a la liga española al equipo que mas te guste te querran y si irte del barsa era por ser el mejor era lo que el barça tenia en mente cuando terminara la era messi seria la neymar igual que pasocondinho,Neutral
8c38d318,"@tore_rito @gaspi19761 @FCBarcelona_es @realmadrid @Simeone @Atleti @manuelbriasbarr @Pepepasques @vanpiuroboros Coño....pues yo con el chino,y el judío,pensaba que íbamos aspirar a fichajes medios buenos.",Negative
bee621f4,"Vitolo, 28 años, Con experiencia al máximo nivel tanto nacional como internacional no juega tanto en el Atleti. Todo normal, debe adaptarse al atleti.. Ceballos, 21 años, apenas una temporada al máximo nivel, no juega tanto en el Madrid. Zidane cabrón e injusto con el chaval...",Negative
3077ce23,"@ociregul @scastle1977 A mí no me da vergüenza que sea del Atleti, me da vergüenza ajena él... Pobre diablo",Negative
8bfd4348,"No soy Madridista, le voy al Barça (ojo y no es que soy el maaaas futbolero), pero entre meses de análisis y mi trabajo nuevo (que tiene una sección heavy de deportes) llegué a la conclusión (muy a mi pesar) de que si, Cristiano Ronaldo es el mejor jugador del mundo.",Positive
cb4a3ce3,@EstedeRacing No me digas que te ofendió mi comentario al barça 👀👀👀,Negative
82c341f1,El #FCBarcelona anuncia su llegada al mundo de los #eSports. #konami #eFootballPro  🎮🎮🎮 https://t.co/lp1GgQ7RbE,Neutral
49d8c1af,"@jotajordi13 @Atleti Si fuesen vuestro único rival.. no recordarías a nadie más..  ¿no?

Lleváis varios años tragando.. Y vais a tragar siempre..",Negative
7f29a04a,"@Jgsantosr Es cierto, sí. Tb hubo silencio en el Barca Atlético",Neutral
4d058c72,"Se que este año me va a ir mal porque en época de parciales ni bola al estudio solo #Mundial y #Messi ,⚽️😍",Positive
